oldvar,RPP.LANDCLIMII
\iUrtica,zz.do not use
\iUrtica\i,zz.do not use
\iUrtica\i - nettle,zz.do not use
"\iUrtica\i (brännässla, etternässla)",zz.do not use
\iUtricularia,zz.do not use
\iUtricularia\i,zz.do not use
\iUtricularia\i (bläddra),zz.do not use
\iVaccinium\i,Ericaceae
"\iVaccinium\i (blåbär, lingon m. fl.)",Ericaceae
\iVaccinum,Ericaceae
\iVaccinum\i t.,Ericaceae
\iValeriana,zz.do not use
\iValeriana dioica\i (småvänderot),zz.do not use
\iValeriana officinalis\i,zz.do not use
"\iValeriana officinalis\i (läkevänderot, flädervänderot)",zz.do not use
\iValeriana\i (vänderot),zz.do not use
\iValeriana\i-typ,zz.do not use
\iValerianella\i,zz.do not use
\iValerianella\i (klynne),zz.do not use
\iVeronica,zz.do not use
\iVeronica \it.,zz.do not use
\iViburnum,zz.do not use
\iViburnum opulus\i type - guelder-rose,zz.do not use
\iViburnum opulus\i-typ (olvon),zz.do not use
\iViburnum opulus\i-type,zz.do not use
\iVicia cracca\i-typ (kråkvicker m. fl.),zz.do not use
"\iVicia\i-typ (vicker, vial)",zz.do not use
\iVicia\i-type,zz.do not use
\iViola palustris\i-typ (kärrviol m. fl.),zz.do not use
\iViola palustris\i-type,zz.do not use
\iViscum\i,zz.do not use
\iViscum\i (mistel),zz.do not use
\Valeriana,zz.do not use
1/2 sacci of Picea,zz.do not use
1/2 sacci of Pinus,zz.do not use
610_100_,zz.do not use
A CER,zz.do not use
A. ASTERIOIDEAE UNDIFF.,zz.do not use
A. laevis,zz.do not use
Abies,Abies alba
ABIES,Abies alba
abies,Abies alba
Abies,Abies alba
ABIES,Abies alba
Abies ,Abies alba
Abies alba,Abies alba
Abies nordmanniana,Abies alba
Abies ,Abies alba
Abies: stomata,zz.do not use
Abutilon,zz.do not use
Acacia,zz.do not use
Acacia,zz.do not use
Acantholimon,zz.do not use
Acanthus,zz.do not use
Acanthus,zz.do not use
Acaulon type,zz.do not use
Acaulon-type,zz.do not use
Acer,zz.do not use
ACER,zz.do not use
acer,zz.do not use
Acer,zz.do not use
ACER,zz.do not use
Acer ,zz.do not use
Acer  ,zz.do not use
ACER    ,zz.do not use
Acer - lönn,zz.do not use
Acer camp T.,zz.do not use
Acer campestre,zz.do not use
Acer campestre type,zz.do not use
Acer campestre type,zz.do not use
Acer campestre-Typ,zz.do not use
Acer campestre-type,zz.do not use
Acer campestre-type,zz.do not use
Acer campestris,zz.do not use
Acer negundo,zz.do not use
Acer platanoides,zz.do not use
acer pseudoplatanus,zz.do not use
Acer rå,zz.do not use
Acer t.,zz.do not use
Acer ,zz.do not use
Acer_campe,zz.do not use
Aceraceae,zz.do not use
Achilea,zz.do not use
Achilea t.,zz.do not use
Achilea-type,zz.do not use
Achillea,zz.do not use
Achillea moschata,zz.do not use
ACHILLEA T,zz.do not use
Achillea T,zz.do not use
Achillea t,zz.do not use
Achillea t.,zz.do not use
Achillea -t.,zz.do not use
Achillea type,zz.do not use
achillea type,zz.do not use
ACHILLEA TYPE,zz.do not use
ACHILLEA TYPE   ,zz.do not use
Achillea/Anthemis type,zz.do not use
Achillea/Aster,zz.do not use
Achillea/Aster-type,zz.do not use
Achillea_t,zz.do not use
Achillea-Typ,zz.do not use
Achillea-type,zz.do not use
Achillea-type,zz.do not use
Achillea-type                           ,zz.do not use
Acillea-Typ,zz.do not use
Aconit type,zz.do not use
Aconitum,zz.do not use
Aconitum,zz.do not use
Aconitum group,zz.do not use
Aconitum napellus-type,zz.do not use
Aconitum non-napellus,zz.do not use
Aconitum septentrionale,zz.do not use
ACONITUM T,zz.do not use
Aconitum type,zz.do not use
Aconitum type,zz.do not use
Aconitum-Typ,zz.do not use
Aconitum-type,zz.do not use
Acorus,zz.do not use
Acorus calamus,zz.do not use
Actaea spicata-type,zz.do not use
Actinidia,zz.do not use
Adiantes,zz.do not use
Adiantum,zz.do not use
Adiantum capillus-veneris,zz.do not use
Adiantum capillus-veneris,zz.do not use
Adonis,zz.do not use
Adonis,zz.do not use
Adonis aestivalis,zz.do not use
Adonis aestivalis type,zz.do not use
Adonis aestivalis-Typ,zz.do not use
Adonis aestivalis-type,zz.do not use
Adonis type,zz.do not use
Adonis type,zz.do not use
Adonis-type,zz.do not use
Adoxa,zz.do not use
ADOXA,zz.do not use
Adoxa moschatellina,zz.do not use
Adoxa type,zz.do not use
Aegilops,zz.do not use
Aegopodium podagraria,zz.do not use
Aellenia type,zz.do not use
Aellenia-type,zz.do not use
Aerva,zz.do not use
AescHipp,zz.do not use
Aesculus,zz.do not use
AESCULUS,zz.do not use
aesculus,zz.do not use
Aesculus,zz.do not use
Aesculus hippocastanum,zz.do not use
AESCULUS HIPPOCASTANUM,zz.do not use
Aesculus hippocastanus,zz.do not use
Aesculus Hippocastauea,zz.do not use
Aesculus-type,zz.do not use
Aethusa cynapium,zz.do not use
AETHUSA CYNAPIUM,zz.do not use
Aethusa-type,zz.do not use
AethuSyn,zz.do not use
age,aage.cal.BP
Age,aage.cal.BP
Age cal BP,aage.cal.BP
age.cal.BP,aage.cal.BP
age.cal.bp,aage.cal.BP
age.cal.BP,aage.cal.BP
age.calBP,aage.cal.BP
age.depth.BP,aage.cal.BP
Agmydalus,zz.do not use
Agrimonia,zz.do not use
AGRIMONIA,zz.do not use
Agrimonia eupatoria,zz.do not use
Agrimonia eupatoria,zz.do not use
Agrimonia type,zz.do not use
Agrimonia/Aremonia,zz.do not use
Agrimonia/Aremonia,zz.do not use
Agrimonia-Typ,zz.do not use
Agrimonia-type,zz.do not use
Agropyron-type,Poaceae
Agrostemma,zz.do not use
AGROSTEMMA,zz.do not use
Agrostemma,zz.do not use
Agrostemma githago,zz.do not use
AGROSTEMMA GITHAGO,zz.do not use
Agrostemma type,zz.do not use
AIZOACEAE,zz.do not use
Ajuga,zz.do not use
Ajuga type,zz.do not use
Akvatiska kärlväxter,zz.do not use
Alchemil_1,zz.do not use
Alchemilla,zz.do not use
